role1	role2	genomes
Lipid-A-disaccharide synthase (EC 2.4.1.182)	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	2490941.3,572547.3,1079.16,518.42,36868.4,454171.5,1437881.3,489703.3,1719125.3,1946934.3,379066.3,59196.3,203907.6,2024841.10,1715285.3
tRNA-Met-CAT	tRNA-Thr-GGT	1294039.3,2183990.3,521095.6,1391995.3,2003555.3,525909.11,1946522.3,479430.3,679936.5,266117.10
Galactokinase (EC 2.7.1.6)	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	2183990.3,727.1550,1423720.4,445932.6,1919250.3,479430.3,525904.6,1408417.3,521095.6,126741.4,190304.8,796939.3,1749045.3,1946798.3,166.4,679936.5
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	2490941.3,583355.3,1882918.15,1915863.3,980251.5,1521403.3,2023178.18,2030824.4,525904.6,1294039.3,1704307.4,1647103.3,489703.3,1946934.3,379066.3,59196.3,1749045.3,525909.11,2605989.3,926569.3,1002870.3,2162266.3,1919250.3,479434.6,518.42,454171.5,1437881.3,166793.3,2003555.3,1560006.3,1548207.7,926550.5,679936.5
Sulfate and thiosulfate binding protein CysP	Sulfate transport system permease protein CysW	2490941.3,1437881.3,489703.3,166793.3,203907.6,1521403.3,2023178.18,1548207.7,754252.34,518.42,525904.6
Adenylate kinase (EC 2.7.4.3)	Protein translocase subunit SecY	2490941.3,1882918.15,2183990.3,1737569.3,1521403.3,572547.3,157176.8,309798.4,525904.6,1294039.3,1408417.3,1432327.4,1609969.5,2099.43,521095.6,795359.3,2024841.10,525909.11,1306947.3,2601575.3,754252.34,1121911.3,1961371.3,266117.10,1639.4260,608534.3,64091.14,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1560006.3,1946798.3,376620.10,1491.958,2023178.18,349741.6,1946283.3,2597224.3,673862.3,1408281.4,655811.4,1647103.3,1946934.3,379066.3,796939.3,1946251.3,2702.133,1947072.3,1423720.4,1401685.3,2162266.3,1079.16,1919250.3,1946294.3,2601646.3,938289.3,126741.4,166793.3,1946522.3,926550.5,243273.25,2100.35,295596.4,679936.5
LSU ribosomal protein L19e	LSU ribosomal protein L27Ae (L15p)	415426.13,406327.12,64091.14,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L17e (L22p)	LSU ribosomal protein L23e (L14p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L30p (L7e)	Translation initiation factor 1	247481.57,1491.958,1737569.3,2023178.18,572547.3,1946283.3,1970770.3,525904.6,655811.4,159.151,2067454.3,1294039.3,1408417.3,1947784.3,521095.6,796939.3,795359.3,1946251.3,525909.11,2702.133,1121911.3,266117.10,1639.4260,608534.3,1423720.4,2069310.3,41978.26,1002870.3,1260.19,1919250.3,1946294.3,479434.6,479430.3,1123388.3,518.42,1945871.3,394503.7,454171.5,938289.3,126741.4,1884905.18,456827.3,1560006.3,1946798.3,37692.4,679936.5
LSU ribosomal protein L17e (L22p)	LSU ribosomal protein L35e (L29p)	415426.13,406327.12,444157.8,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L18p (L5e)	LSU ribosomal protein L22p (L17e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,926569.3,1260.19,394503.7,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,41978.26,445932.6,479434.6,1123388.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L16p (L10e)	LSU ribosomal protein L30p (L7e)	1121447.3,2490941.3,557993.3,247481.57,2183990.3,1737569.3,572547.3,1970770.3,525904.6,159.151,36868.4,1294039.3,1408417.3,521095.6,59196.3,795359.3,2024841.10,525909.11,754252.34,1121911.3,1241833.3,266117.10,1639.4260,608534.3,926569.3,41978.26,1002870.3,1260.19,479434.6,1123388.3,394503.7,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,376620.10,295320.3,1491.958,2023178.18,1946283.3,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,379066.3,796939.3,203907.6,1946251.3,2702.133,727.1550,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,926550.5,166.4,1715285.3,679936.5
Heat shock protein 10 kDa family chaperone GroES	Heat shock protein 60 kDa family chaperone GroEL	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,2030824.4,525904.6,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,2601575.3,1241833.3,1639.4260,2605989.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,406327.12,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,190304.8,1946934.3,796939.3,203907.6,727.1550,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,1972133.3,243273.25,557993.3,1737569.3,1521403.3,210.5028,309798.4,36868.4,1906166.3,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,1961371.3,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,583355.3,349741.6,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,1947072.3,813.178,1423720.4,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,1715285.3,679936.5
Enoyl-CoA hydratase (EC 4.2.1.17)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	489703.3,1391995.3,716544.4,2023178.18,525909.11,1002870.3,926550.5,479434.6,518.42,266117.10
Flagellar basal-body rod protein FlgG	Flagellar L-ring protein FlgH	1121447.3,2490941.3,2605989.3,557993.3,2023178.18,1079.16,2597224.3,157176.8,518.42,36868.4,454171.5,1437881.3,1647103.3,489703.3,126741.4,1946934.3,379066.3,795359.3,2024841.10,1241833.3
Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage	Uridylate kinase (EC 2.7.4.22)	1639.4260,2490941.3,1123388.3,309798.4,518.42,394503.7,1408417.3,454171.5,1437881.3,1647103.3,1946934.3,2003555.3,203907.6,2024841.10,525909.11,376620.10,1715285.3,266117.10
DNA repair protein RadA	Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog	1639.4260,1491.958,1423720.4,1332188.3,1919250.3,1123388.3,309798.4,394503.7,938289.3,796939.3,2003555.3,1946251.3,1121911.3
Membrane protein insertion efficiency factor YidD	Ribonuclease P protein component (EC 3.1.26.5)	1121447.3,1882918.15,2183990.3,1737569.3,2200854.3,572547.3,210.5028,2030824.4,309798.4,525904.6,159.151,36868.4,1805053.3,59196.3,795359.3,2024841.10,754252.34,1121911.3,266117.10,2605989.3,608534.3,926569.3,41978.26,445932.6,1260.19,479430.3,1123388.3,518.42,394503.7,454171.5,2003555.3,1560006.3,1946798.3,376620.10,2023178.18,349741.6,655811.4,1647103.3,489703.3,190304.8,1946934.3,379066.3,796939.3,203907.6,1946251.3,481448.7,2702.133,727.1550,1079.16,1919250.3,126741.4,166793.3,456827.3,1548207.7,926550.5,679936.5
LSU ribosomal protein L17e (L22p)	LSU ribosomal protein L26e (L24p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,1577791.3,1435377.6,263820.9,339860.19
Protein translocase subunit SecE	tRNA-Trp-CCA	1121447.3,583355.3,2183990.3,716544.4,349741.6,572547.3,210.5028,157176.8,309798.4,1294039.3,1947784.3,521095.6,190304.8,59196.3,795359.3,1206109.5,525909.11,481448.7,266117.10,926569.3,445932.6,479434.6,479430.3,1437881.3,456827.3,376620.10
Iron-sulfur cluster assembly protein SufB	Iron-sulfur cluster assembly ATPase protein SufC	1121447.3,2490941.3,2183990.3,1737569.3,980251.5,1521403.3,2200854.3,572547.3,263820.9,525904.6,36868.4,1294039.3,1408417.3,1432327.4,1704307.4,521095.6,59196.3,795359.3,2024841.10,1206109.5,1306947.3,754252.34,266117.10,1639.4260,2605989.3,608534.3,64091.14,1262806.3,28227.8,926569.3,2069310.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,454171.5,1884905.18,2003555.3,1435377.6,376620.10,406327.12,583355.3,1915863.3,716544.4,349741.6,1946283.3,374847.13,655811.4,1647103.3,1947784.3,489703.3,1946934.3,379066.3,796939.3,1749045.3,203907.6,1946251.3,428411.4,481448.7,272844.11,2702.133,1947072.3,339860.19,813.178,444157.8,1408467.3,1079.16,1919250.3,1946294.3,1946269.3,415426.13,1437881.3,938289.3,1719125.3,126741.4,349307.15,397948.10,1548207.7,926550.5,1715285.3,679936.5
Adenosylcobinamide kinase (EC 2.7.1.156)	Cobyric acid synthase (EC 6.3.5.10)	1437881.3,1647103.3,489703.3,1491.958,379066.3,1737569.3,349741.6,754252.34,1947072.3,679936.5
Cytochrome c heme lyase subunit CcmF	Cytochrome c-type biogenesis protein CcmE, heme chaperone	1121447.3,2490941.3,727.1550,926569.3,1737569.3,2023178.18,1919250.3,479434.6,1123388.3,157176.8,518.42,525904.6,454171.5,1437881.3,1647103.3,489703.3,379066.3,1749045.3,525909.11,376620.10,679936.5
Cytochrome c heme lyase subunit CcmF	Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	1121447.3,727.1550,1737569.3,1919250.3,479434.6,1123388.3,157176.8,518.42,454171.5,1437881.3,1647103.3,489703.3,1749045.3,525909.11,1946522.3,376620.10,679936.5
Cytidine deaminase (EC 3.5.4.5)	DNA recombination and repair protein RecO	1639.4260,1262806.3,1423720.4,926569.3,572547.3,1260.19,309798.4,655811.4,394503.7,2099.43,2003555.3,1121911.3,679936.5,266117.10
Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	1639.4260,1882918.15,1915863.3,2183990.3,1737569.3,716544.4,2069310.3,479434.6,2030824.4,479430.3,1123388.3,263820.9,518.42,525904.6,1294039.3,1437881.3,1647103.3,489703.3,1391995.3,59196.3,1946522.3,754252.34,679936.5,266117.10
Cell division protein FtsL	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	1121447.3,557993.3,2023178.18,572547.3,309798.4,525904.6,655811.4,1294039.3,1647103.3,1947784.3,521095.6,203907.6,795359.3,525909.11,481448.7,2702.133,266117.10,1639.4260,608534.3,727.1550,926569.3,445932.6,1260.19,479434.6,1123388.3,518.42,454171.5,376620.10,166.4
Flagellar biosynthesis protein FlhB	RNA polymerase sigma factor for flagellar operon	1121447.3,1491.958,2597224.3,479434.6,157176.8,489703.3,166793.3,379066.3,795359.3,1560006.3,1946798.3,166.4,1121911.3
Acetolactate synthase large subunit (EC 2.2.1.6)	Ketol-acid reductoisomerase (NAD(P)(+)) (EC 1.1.1.383)	406327.12,444157.8,126741.4,349307.15,397948.10,272844.11,374847.13,1435377.6,263820.9,339860.19,679936.5
Lipoprotein signal peptidase (EC 3.4.23.36)	LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)	2183990.3,1491.958,1946283.3,1408281.4,309798.4,525904.6,159.151,1294039.3,1609969.5,521095.6,1805053.3,379066.3,796939.3,525909.11,2702.133,754252.34,1947072.3,1639.4260,608534.3,1262806.3,1423720.4,28227.8,926569.3,2069310.3,41978.26,1002870.3,1260.19,1946294.3,479434.6,479430.3,1945871.3,1946269.3,394503.7,938289.3,126741.4,1391995.3,166793.3,1884905.18,2003555.3,1946798.3,926550.5,243273.25,679936.5
Cytochrome c heme lyase subunit CcmF	Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	727.1550,1737569.3,1919250.3,479434.6,1123388.3,157176.8,518.42,1437881.3,1647103.3,489703.3,59196.3,525909.11,1946522.3,926550.5,376620.10
Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)	1294039.3,2183990.3,1805053.3,1884905.18,2003555.3,525909.11,1002870.3,1946522.3,479430.3,266117.10
LSU ribosomal protein L33p	tRNA-Trp	2605989.3,1970770.3,2597224.3,1408281.4,159.151,454171.5,1609969.5,126741.4,1805053.3,1884905.18,1560006.3,137778.5,754252.34
LSU ribosomal protein L18p (L5e)	LSU ribosomal protein L24p (L26e)	1121447.3,2490941.3,247481.57,1882918.15,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,2601575.3,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
tRNA-Ala-TGC	tRNA-Ile-GAT	1121447.3,583355.3,716544.4,349741.6,572547.3,374847.13,210.5028,673862.3,157176.8,309798.4,525904.6,36868.4,1294039.3,521095.6,190304.8,59196.3,1749045.3,795359.3,1306947.3,481448.7,727.1550,926569.3,445932.6,1332188.3,1408467.3,2162266.3,1946294.3,479434.6,479430.3,1946269.3,1437881.3,1391995.3,2003555.3,37692.4,1435377.6,376620.10,243273.25
LSU ribosomal protein L18p (L5e)	LSU ribosomal protein L36p	557993.3,1882918.15,1737569.3,1521403.3,572547.3,1970770.3,210.5028,309798.4,525904.6,159.151,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,1123388.3,518.42,394503.7,454171.5,1884905.18,1560006.3,1946798.3,37692.4,295320.3,1491.958,2023178.18,1946283.3,2597224.3,1408281.4,655811.4,2067454.3,796939.3,1749045.3,203907.6,1946251.3,428411.4,2702.133,1318617.4,1947072.3,727.1550,1423720.4,1332188.3,1408467.3,1946294.3,1946269.3,938289.3,126741.4,456827.3,926550.5,1715285.3,243273.25,2100.35
ABC transporter, permease protein (cluster 15, trp?)	ABC transporter, substrate-binding protein (cluster 15, trp?)	1121447.3,1882918.15,1491.958,190304.8,1423720.4,796939.3,1946251.3,41978.26,166.4,754252.34,1121911.3,159.151
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Dihydropteroate synthase (EC 2.5.1.15)	2490941.3,583355.3,2183990.3,1491.958,1737569.3,572547.3,309798.4,190304.8,1946934.3,525909.11,2702.133,754252.34,1121911.3,266117.10,1639.4260,2069310.3,1002870.3,1260.19,1919250.3,479434.6,479430.3,394503.7,163164.29,126741.4,166793.3,1884905.18,2003555.3,1946798.3,1946522.3,376620.10,679936.5
SSU ribosomal protein S3p (S3e)	Translation elongation factor Tu	2490941.3,557993.3,1882918.15,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,1609969.5,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,1121911.3,1241833.3,266117.10,926569.3,1002870.3,479434.6,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,376620.10,1491.958,2023178.18,2597224.3,673862.3,1408281.4,1647103.3,489703.3,379066.3,1749045.3,1947072.3,1919250.3,1945871.3,2601646.3,1437881.3,1719125.3,126741.4,166793.3,926550.5,1715285.3,679936.5
repeat region	SSU rRNA	1639.4260,1906166.3,1971488.3,813.178,163164.29,489703.3,1749045.3,428411.4,1972134.3,1121911.3,1946269.3
GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2)	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	1121447.3,1491.958,727.1550,349741.6,1002870.3,1260.19,2597224.3,309798.4,518.42,36868.4,1294039.3,1437881.3,1719125.3,1884905.18,59196.3,203907.6,428411.4,1318617.4,166.4,1715285.3,1121911.3
Cyclic-di-AMP phosphodiesterase GdpP	LSU ribosomal protein L9p	1639.4260,608534.3,1491.958,1423720.4,41978.26,1260.19,655811.4,394503.7,2099.43,938289.3,796939.3,1121911.3,2100.35
Twitching motility protein PilT	Type IV fimbrial assembly, ATPase PilB	2605989.3,583355.3,2183990.3,1737569.3,980251.5,1521403.3,1332188.3,1002870.3,2597224.3,2030824.4,1123388.3,394503.7,1432327.4,454171.5,1609969.5,1805053.3,166793.3,379066.3,1946798.3,1121911.3,266117.10
16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)	Inner membrane protein translocase and chaperone YidC, short form OxaI-like	2183990.3,1491.958,2069310.3,1260.19,479430.3,655811.4,394503.7,521095.6,1391995.3,1884905.18,2003555.3,525909.11,2702.133,754252.34,1121911.3,679936.5,266117.10
Chromosome partition protein smc	SSU ribosomal protein S16p	608534.3,1491.958,1423720.4,1002870.3,1946283.3,1946269.3,938289.3,1946798.3,525909.11,1946522.3,754252.34,1121911.3,679936.5,266117.10
Flagellar biosynthesis protein FlhA	RNA polymerase sigma factor for flagellar operon	1121447.3,2605989.3,1491.958,980251.5,2597224.3,479434.6,2030824.4,157176.8,159.151,1437881.3,1647103.3,489703.3,126741.4,379066.3,795359.3,1560006.3,1946798.3,166.4,1121911.3,1947072.3
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	1294039.3,1639.4260,938289.3,1491.958,1884905.18,2003555.3,1260.19,1946522.3,479430.3,1121911.3,679936.5,266117.10
23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)	RNA polymerase sporulation specific sigma factor SigH	1639.4260,1491.958,1002870.3,1946283.3,1946294.3,1946269.3,394503.7,190304.8,166793.3,1946251.3,1946798.3,1121911.3,679936.5
ABC transporter, permease protein 1 (cluster 11, riboflavin/purine nucleoside/unknown)	ABC transporter, permease protein 2 (cluster 11, riboflavin/purine nucleoside/unknown)	2490941.3,1491.958,374847.13,309798.4,655811.4,159.151,1408417.3,2099.43,489703.3,1805053.3,379066.3,796939.3,1946251.3,272844.11,1318617.4,1947072.3,608534.3,28227.8,926569.3,1260.19,1408467.3,1919250.3,394503.7,415426.13,454171.5,938289.3,126741.4,1946798.3,926550.5,376620.10,166.4,243273.25,2100.35
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	2490941.3,557993.3,1491.958,572547.3,157176.8,263820.9,525904.6,1609969.5,1647103.3,489703.3,379066.3,203907.6,1946251.3,1121911.3,1241833.3,1961371.3,1639.4260,727.1550,926569.3,41978.26,445932.6,518.42,394503.7,1437881.3,126741.4,1946798.3,1435377.6,376620.10,679936.5
Ribonuclease HII (EC 3.1.26.4)	Signal recognition particle protein Ffh	1121447.3,813.178,608534.3,1491.958,716544.4,1002870.3,1260.19,1946283.3,1946294.3,309798.4,394503.7,454171.5,938289.3,1805053.3,166793.3,1946798.3,481448.7,1121911.3,679936.5,266117.10
Heat-inducible transcription repressor HrcA	Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW	1639.4260,608534.3,2183990.3,1491.958,1262806.3,2069310.3,1002870.3,1260.19,1946294.3,479430.3,655811.4,938289.3,1884905.18,379066.3,525909.11,754252.34,1121911.3,679936.5
LSU ribosomal protein L31p, zinc-dependent	Peptide chain release factor 1	1121447.3,572547.3,1946283.3,1970770.3,2597224.3,673862.3,1408281.4,157176.8,655811.4,1432327.4,1704307.4,1609969.5,795359.3,1946251.3,525909.11,1306947.3,481448.7,2702.133,1318617.4,754252.34,1121911.3,608534.3,28227.8,2069310.3,1002870.3,1260.19,1946294.3,479430.3,1946269.3,938289.3,1391995.3,166793.3,1884905.18,456827.3,2003555.3,1946798.3,243273.25,679936.5
LSU ribosomal protein L32p, zinc-dependent	Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)	1121447.3,1491.958,716544.4,2023178.18,349741.6,572547.3,1970770.3,1408281.4,157176.8,309798.4,655811.4,159.151,1609969.5,1647103.3,521095.6,1805053.3,379066.3,795359.3,525909.11,1121911.3,1947072.3,266117.10,813.178,445932.6,1002870.3,1260.19,1945871.3,1946269.3,938289.3,126741.4,166793.3,456827.3,1560006.3,376620.10,679936.5
Alanine racemase (EC 5.1.1.1)	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	2490941.3,489703.3,1719125.3,727.1550,1946934.3,59196.3,445932.6,428411.4,1715285.3,1408281.4
LSU ribosomal protein L23p (L23Ae)	SSU ribosomal protein S14p (S29e), zinc-dependent	1121447.3,1882918.15,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,2099.43,1805053.3,795359.3,525909.11,1306947.3,137778.5,754252.34,1121911.3,266117.10,1639.4260,608534.3,1262806.3,926569.3,41978.26,445932.6,1260.19,479434.6,479430.3,1123388.3,394503.7,1884905.18,2003555.3,1946798.3,1491.958,2023178.18,1946283.3,673862.3,655811.4,796939.3,481448.7,2702.133,1947072.3,1423720.4,1408467.3,1919250.3,1945871.3,1946269.3,938289.3,126741.4,456827.3,59620.1701,926550.5,243273.25,2100.35,295596.4
Dihydropteroate synthase (EC 2.5.1.15)	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	1294039.3,2183990.3,521095.6,166793.3,1884905.18,2069310.3,525909.11,1002870.3,1946522.3,754252.34,157176.8,266117.10
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	1121447.3,64091.14,1491.958,2023178.18,41978.26,436308.17,479434.6,479430.3,525904.6,2601646.3,394503.7,1294039.3,1408417.3,1884905.18,379066.3,2003555.3,795359.3,1946798.3,926550.5,2702.133,754252.34,266117.10
Urease accessory protein UreG	Urease alpha subunit (EC 3.5.1.5)	2490941.3,489703.3,583355.3,727.1550,203907.6,41978.26,137778.5,210.5028,157176.8,518.42,679936.5
LSU ribosomal protein L1p (L10Ae)	LSU ribosomal protein L33p	1737569.3,572547.3,1970770.3,210.5028,157176.8,525904.6,159.151,1609969.5,521095.6,1805053.3,795359.3,525909.11,137778.5,266117.10,1639.4260,2605989.3,608534.3,926569.3,41978.26,445932.6,1002870.3,1260.19,479434.6,1123388.3,394503.7,454171.5,2003555.3,1946798.3,37692.4,1491.958,1946283.3,2597224.3,673862.3,1408281.4,655811.4,190304.8,379066.3,796939.3,1946251.3,1947072.3,1423720.4,1079.16,1919250.3,1946294.3,1946269.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1946522.3,679936.5
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	Dihydroxyacetone kinase-like protein, phosphatase domain	608534.3,1491.958,1260.19,479430.3,309798.4,525904.6,655811.4,938289.3,521095.6,525909.11,1946522.3,1121911.3,266117.10
Gliding motility-associated ABC transporter substrate-binding protein GldG	Gliding motility-associated ABC transporter permease protein GldF	489703.3,583355.3,1882918.15,456827.3,926569.3,1521403.3,2023178.18,1548207.7,481448.7,157176.8,394503.7
ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	2490941.3,2183990.3,2200854.3,263820.9,525904.6,655811.4,1408417.3,521095.6,796939.3,1946251.3,525909.11,272844.11,2702.133,1947072.3,1639.4260,608534.3,1423720.4,926569.3,2069310.3,41978.26,1002870.3,1260.19,1919250.3,479430.3,1123388.3,518.42,394503.7,415426.13,454171.5,1437881.3,938289.3,126741.4,1391995.3,166793.3,1884905.18,456827.3,2003555.3,1946798.3,1946522.3,926550.5,166.4,679936.5
Urease accessory protein UreF	Urease alpha subunit (EC 3.5.1.5)	2490941.3,489703.3,583355.3,727.1550,203907.6,41978.26,137778.5,926550.5,210.5028,518.42,679936.5
Guanylate kinase (EC 2.7.4.8)	Helicase PriA essential for oriC/DnaA-independent DNA replication	1639.4260,2183990.3,1491.958,1423720.4,41978.26,445932.6,572547.3,1260.19,479430.3,1408281.4,655811.4,1294039.3,938289.3,1884905.18,59620.1701,1560006.3,525909.11,2702.133,754252.34,1121911.3,266117.10
RecA protein	tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)	1294039.3,2183990.3,521095.6,166793.3,2003555.3,2069310.3,525909.11,1002870.3,479430.3,754252.34,309798.4,266117.10
D-mannonate oxidoreductase (EC 1.1.1.57)	Uronate isomerase (EC 5.3.1.12)	583355.3,727.1550,1737569.3,1946251.3,1946798.3,2069310.3,1548207.7,1121911.3,159.151,394503.7
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	583355.3,608534.3,1491.958,2200854.3,572547.3,1002870.3,1260.19,1408281.4,655811.4,394503.7,938289.3,521095.6,1805053.3,1946251.3,1946798.3,1121911.3,679936.5,266117.10
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	938289.3,521095.6,126741.4,190304.8,796939.3,1946251.3,1946798.3,41978.26,1260.19,1947072.3,309798.4,655811.4
Gliding motility-associated ABC transporter ATP-binding protein GldA	Gliding motility-associated ABC transporter substrate-binding protein GldG	2605989.3,583355.3,1882918.15,926569.3,980251.5,1521403.3,2023178.18,157176.8,394503.7,489703.3,456827.3,1548207.7,481448.7
